dx,mental_cat,match_type
T45.622S,self_harm,exact
T45.692,self_harm,exact
T45.692A,self_harm,exact
T45.692D,self_harm,exact
T45.692S,self_harm,exact
T45.7X2,self_harm,exact
T45.7X2A,self_harm,exact
T45.7X2D,self_harm,exact
T45.7X2S,self_harm,exact
T45.8X2,self_harm,exact
T45.8X2A,self_harm,exact
T45.8X2D,self_harm,exact
T45.8X2S,self_harm,exact
T45.92XA,self_harm,exact
T45.92XD,self_harm,exact
T45.92XS,self_harm,exact
T46.0X2,self_harm,exact
T46.0X2A,self_harm,exact
T46.0X2D,self_harm,exact
T46.0X2S,self_harm,exact
T46.1X2,self_harm,exact
T46.1X2A,self_harm,exact
T46.1X2D,self_harm,exact
T46.1X2S,self_harm,exact
T46.2X2,self_harm,exact
T46.2X2A,self_harm,exact
T46.2X2D,self_harm,exact
T46.2X2S,self_harm,exact
T46.3X2,self_harm,exact
T46.3X2A,self_harm,exact
T46.3X2D,self_harm,exact
T46.3X2S,self_harm,exact
T46.4X2,self_harm,exact
T46.4X2A,self_harm,exact
T46.4X2D,self_harm,exact
T46.4X2S,self_harm,exact
T46.5X2,self_harm,exact
T46.5X2A,self_harm,exact
T46.5X2D,self_harm,exact
T46.5X2S,self_harm,exact
T46.6X2,self_harm,exact
T46.6X2A,self_harm,exact
T46.6X2D,self_harm,exact
T46.6X2S,self_harm,exact
T46.7X2,self_harm,exact
T46.7X2A,self_harm,exact
T46.7X2D,self_harm,exact
T46.7X2S,self_harm,exact
T46.8X2,self_harm,exact
T46.8X2A,self_harm,exact
T46.8X2D,self_harm,exact
T46.8X2S,self_harm,exact
T46.902,self_harm,exact
T46.902A,self_harm,exact
T46.902D,self_harm,exact
T46.902S,self_harm,exact
T46.992,self_harm,exact
T46.992A,self_harm,exact
T46.992D,self_harm,exact
T46.992S,self_harm,exact
T47.0X2,self_harm,exact
T47.0X2A,self_harm,exact
T47.0X2D,self_harm,exact
T47.0X2S,self_harm,exact
T47.1X2,self_harm,exact
T47.1X2A,self_harm,exact
T47.1X2D,self_harm,exact
T47.1X2S,self_harm,exact
T47.2X2,self_harm,exact
T47.2X2A,self_harm,exact
T47.2X2D,self_harm,exact
T47.2X2S,self_harm,exact
T47.3X2,self_harm,exact
T47.3X2A,self_harm,exact
T47.3X2D,self_harm,exact
T47.3X2S,self_harm,exact
T47.4X2,self_harm,exact
T47.4X2A,self_harm,exact
T47.4X2D,self_harm,exact
T47.4X2S,self_harm,exact
T47.5X2,self_harm,exact
T47.5X2A,self_harm,exact
T47.5X2D,self_harm,exact
T47.5X2S,self_harm,exact
T47.6X2,self_harm,exact
T47.6X2A,self_harm,exact
T47.6X2D,self_harm,exact
T47.6X2S,self_harm,exact
T47.7X2,self_harm,exact
T47.7X2A,self_harm,exact
T47.7X2D,self_harm,exact
T47.7X2S,self_harm,exact
T47.8X2,self_harm,exact
T47.8X2A,self_harm,exact
T47.8X2D,self_harm,exact
T47.8X2S,self_harm,exact
T47.92XA,self_harm,exact
T47.92XD,self_harm,exact
T47.92XS,self_harm,exact
T48.0X2,self_harm,exact
T48.0X2A,self_harm,exact
T48.0X2D,self_harm,exact
T48.0X2S,self_harm,exact
T48.1X2,self_harm,exact
T48.1X2A,self_harm,exact
T48.1X2D,self_harm,exact
T48.1X2S,self_harm,exact
T48.202,self_harm,exact
T48.202A,self_harm,exact
T48.202D,self_harm,exact
T48.202S,self_harm,exact
T48.292,self_harm,exact
T48.292A,self_harm,exact
T48.292D,self_harm,exact
T48.292S,self_harm,exact
T48.3X2,self_harm,exact
T48.3X2A,self_harm,exact
T48.3X2D,self_harm,exact
T48.3X2S,self_harm,exact
T48.4X2,self_harm,exact
T48.4X2A,self_harm,exact
T48.4X2D,self_harm,exact
T48.4X2S,self_harm,exact
T48.5X2,self_harm,exact
T48.5X2A,self_harm,exact
T48.5X2D,self_harm,exact
T48.5X2S,self_harm,exact
T48.6X2,self_harm,exact
T48.6X2A,self_harm,exact
T48.6X2D,self_harm,exact
T48.6X2S,self_harm,exact
T48.902,self_harm,exact
T48.902A,self_harm,exact
T48.902D,self_harm,exact
T48.902S,self_harm,exact
T48.992,self_harm,exact
T48.992A,self_harm,exact
T48.992D,self_harm,exact
T48.992S,self_harm,exact
T49.0X2,self_harm,exact
T49.0X2A,self_harm,exact
T49.0X2D,self_harm,exact
T49.0X2S,self_harm,exact
T49.1X2,self_harm,exact
T49.1X2A,self_harm,exact
T49.1X2D,self_harm,exact
T49.1X2S,self_harm,exact
T49.2X2,self_harm,exact
T49.2X2A,self_harm,exact
T49.2X2D,self_harm,exact
T49.2X2S,self_harm,exact
T49.3X2,self_harm,exact
T49.3X2A,self_harm,exact
T49.3X2D,self_harm,exact
T49.3X2S,self_harm,exact
T49.4X2,self_harm,exact
T49.4X2A,self_harm,exact
T49.4X2D,self_harm,exact
T49.4X2S,self_harm,exact
T49.5X2,self_harm,exact
T49.5X2A,self_harm,exact
T49.5X2D,self_harm,exact
T49.5X2S,self_harm,exact
T49.6X2,self_harm,exact
T49.6X2A,self_harm,exact
T49.6X2D,self_harm,exact
T49.6X2S,self_harm,exact
T49.7X2,self_harm,exact
T49.7X2A,self_harm,exact
T49.7X2D,self_harm,exact
T49.7X2S,self_harm,exact
T49.8X2,self_harm,exact
T49.8X2A,self_harm,exact
T49.8X2D,self_harm,exact
T49.8X2S,self_harm,exact
T49.92XA,self_harm,exact
T49.92XD,self_harm,exact
