zip|tractfips
27534|37191001302
27534|37191000402
27534|37191000500
27534|37079950200
27534|37191001301
27534|37191000302
27534|37191001800
27534|37191000304
27534|37191001200
27536|37181960600
27536|37181960700
27536|37181960800
27536|37181960400
27536|37181960900
27536|37181960100
27536|37181960300
27536|37181960500
27537|37181960700
27537|37181961000
27537|37181960800
27537|37181960600
27537|37181960100
27537|37185950400
27537|37181960200
27537|37069060100
27537|37181960400
27537|37181960300
27537|37181960900
27537|37181960500
27539|37183053008
27539|37183053420
27539|37183053005
27539|37183053203
27539|37183053207
27539|37183053405
27539|37183053421
27539|37183053111
27539|37183053006
27539|37183053201
27540|37183053202
27540|37183053207
27540|37183053107
27540|37183053420
27540|37183053205
27540|37183053204
27540|37037020702
27540|37183053203
27540|37183053201
27540|37085071002
27540|37183053206
27540|37183053106
27541|37145920601
27541|37135010801
27541|37145920602
27541|37135010802
27542|37101040100
27542|37191000101
27542|37195001500
27542|37101040500
27542|37195001600
27542|37101040201
27542|37195001700
27543|37085071001
27544|37077970500
27544|37181961000
27544|37069060301
27544|37069060100
27545|37183054108
27545|37183054113
27545|37183054404
27545|37183054112
27545|37183054111
27545|37183054114
27545|37183054115
27545|37183054109
27545|37183054403
27546|37085071204
27546|37085070801
27546|37085071102
27546|37085071002
27546|37085071301
27546|37085070700
27546|37085071302
27546|37085071303
27546|37085071101
27546|37085071001
27546|37085070802
27546|37085070401
27549|37069060200
27549|37069060302
27549|37069060600
27549|37069060801
27549|37069060402
27549|37069060301
27549|37069060700
27549|37069060502
27549|37069060100
27551|37185950103
27551|37185950200
27551|37185950102
27551|37185950101
27551|37185950300
27552|37085071102
27553|37185950200
27553|37181960100
27555|37101040100
27556|37181960100
27557|37101040201
27557|37127011400
27557|37127011500
27557|37195001500
27557|37069060802
27559|37037020702
27559|37037020600
27559|37037020800
27560|37183053607
27560|37183053523
27560|37183053609
27560|37183053606
27560|37063001809
27560|37183053513
27560|37183053524
27560|37183053602
27560|37183053522
27560|37183053603
27560|37063980100
27560|37183980100
27560|37183053605
27560|37063002028
27560|37183053608
27560|37183053610
27562|37037020702
27562|37183053207
27562|37183053413
27563|37185950300
27563|37185950400
27563|37181960900
27563|37181960100
27563|37185950200
27565|37077970601
27565|37181960300
27565|37077970500
27565|37077970701
27565|37077970102
27565|37145920100
27565|37077970101
27565|37181960200
27565|37077970200
27565|37077970400
27565|37181961000
27565|37077970300
27568|37101040400
27569|37101040500
27569|37101041300
27569|37191001101
27569|37101040100
27569|37191000101
27569|37191001000
27569|37101040400
27570|37185950200
27571|37183054211
27571|37183054210
